Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	23938.9	23988.2	23938.9	23988.2	1473.90125	10523.81934	340.96991	0.89994	0.60143	1263.27148	10839.78125	30	1	18	1	878.11	878.11	922.58851	11.89895	23938.9	23988.2	23938.9	23988.2	878.1	878.1
647	24032.7	23991.7	24032.7	23991.7	1196.88831	12478.22949	408.16656	0.12933	0.58486	1149.66089	13551.10938	40	1	10	1	943.605	943.605	1093.92520	13.53785	24032.7	23991.7	24032.7	23991.7	943.6	943.6
647	24711.7	24875.6	24711.7	24875.6	1643.24390	10004.92676	315.00323	0.60120	0.84462	1099.58154	10341.50391	47	1	15	1	798.788	798.788	877.09891	10.31106	24711.7	24875.6	24711.7	24875.6	798.8	798.8
647	24394.2	24030.2	24394.2	24030.2	3159.40674	21126.38477	330.11752	0.15827	1.08754	1163.01465	21424.28125	87	1	13	1	738.562	738.562	1852.08044	6.12320	24394.2	24030.2	24394.2	24030.2	738.6	738.6
647	23792.0	24547.5	23792.0	24547.5	761.35547	4849.47168	322.18295	0.37738	1.28754	1119.13538	5156.36719	88	1	15	1	697.289	697.289	425.13718	20.60269	23792.0	24547.5	23792.0	24547.5	697.3	697.3
647	24729.9	24183.7	24729.9	24183.7	765.27094	9732.83691	337.34097	0.34548	0.70733	1120.28809	10277.70313	117	2	15	1	849.001	849.314	853.24569	15.80990	24729.9	24183.7	24729.9	24183.7	849.0	849.0
647	23733.6	24747.5	23733.6	24747.5	1263.89258	8461.06348	330.28925	0.08610	0.90703	1135.41956	8720.44141	145	1	9	1	789.327	790.226	741.75351	13.09886	23733.6	24747.5	23733.6	24747.5	789.3	789.3
647	24645.9	24851.9	24645.9	24851.9	699.65710	4349.30811	315.75882	0.60595	1.28613	1065.27112	4895.92188	167	1	13	1	701.875	703.234	381.28949	21.50064	24645.9	24851.9	24645.9	24851.9	701.9	701.9
647	24078.7	25000.8	24078.7	25000.8	702.81067	4457.54590	321.54810	0.17317	1.08446	1038.71436	4772.99609	180	1	14	1	740.855	742.485	390.77834	21.49969	24078.7	25000.8	24078.7	25000.8	740.9	740.9
647	24296.5	24017.4	24296.5	24017.4	1209.68030	10301.23730	372.14484	0.36919	0.68478	1132.77429	10724.21875	214	1	21	1	887.57	889.911	903.07548	13.55796	24296.5	24017.4	24296.5	24017.4	887.6	887.6
647	23709.7	24746.6	23709.7	24746.6	885.62115	19349.23438	314.26202	0.55049	0.88871	1043.94043	19663.83594	223	2	16	1	787.872	790.401	1696.28353	7.33718	23709.7	24746.6	23709.7	24746.6	787.9	787.9
